RawAbundance,sample,group
,Abundance.F1.Sample.non.treated,non_treated
672434,Abundance.F1.Sample.non.treated,non_treated
187432.7031,Abundance.F1.Sample.non.treated,non_treated
18153207.19,Abundance.F1.Sample.non.treated,non_treated
34060908.31,Abundance.F1.Sample.non.treated,non_treated
513400.2344,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
267981.4375,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
26871323.06,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
129855.5391,Abundance.F1.Sample.non.treated,non_treated
237513.0391,Abundance.F1.Sample.non.treated,non_treated
6505881.406,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
457169.0625,Abundance.F1.Sample.non.treated,non_treated
11646909.98,Abundance.F1.Sample.non.treated,non_treated
389824.9688,Abundance.F1.Sample.non.treated,non_treated
324379.8125,Abundance.F1.Sample.non.treated,non_treated
606407.9844,Abundance.F1.Sample.non.treated,non_treated
597014.2188,Abundance.F1.Sample.non.treated,non_treated
5788351.875,Abundance.F1.Sample.non.treated,non_treated
635650.25,Abundance.F1.Sample.non.treated,non_treated
115183.6875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1364567,Abundance.F1.Sample.non.treated,non_treated
205798.4688,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
578562.375,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
246747.0781,Abundance.F1.Sample.non.treated,non_treated
250318.1719,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
455519.5,Abundance.F1.Sample.non.treated,non_treated
334268.7188,Abundance.F1.Sample.non.treated,non_treated
7370842.734,Abundance.F1.Sample.non.treated,non_treated
717403.9219,Abundance.F1.Sample.non.treated,non_treated
186087.75,Abundance.F1.Sample.non.treated,non_treated
108772.9688,Abundance.F1.Sample.non.treated,non_treated
516796.4375,Abundance.F1.Sample.non.treated,non_treated
1242611.891,Abundance.F1.Sample.non.treated,non_treated
323938.1797,Abundance.F1.Sample.non.treated,non_treated
327435.2891,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
133710.75,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
134958.9219,Abundance.F1.Sample.non.treated,non_treated
181578.5781,Abundance.F1.Sample.non.treated,non_treated
583004.0625,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
514305.6172,Abundance.F1.Sample.non.treated,non_treated
138762.9531,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
534301.625,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1887923.75,Abundance.F1.Sample.non.treated,non_treated
668344,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
234578.75,Abundance.F1.Sample.non.treated,non_treated
122746.7656,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
263260.6875,Abundance.F1.Sample.non.treated,non_treated
277621.5938,Abundance.F1.Sample.non.treated,non_treated
1476339.578,Abundance.F1.Sample.non.treated,non_treated
27116787.55,Abundance.F1.Sample.non.treated,non_treated
77192.58594,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
4748971.422,Abundance.F1.Sample.non.treated,non_treated
2157089.828,Abundance.F1.Sample.non.treated,non_treated
